"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"ALL","All regions","FIN","Finland","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","FIN","Finland","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",57.5,,
"EUR","Europe","FRA","France","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","FRA","France","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",48.4,,
"ALL","All regions","FRA","France","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","FRA","France","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",48.4,,
"EUR","Europe","DEU","Germany","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","DEU","Germany","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",48.4,,
"ALL","All regions","DEU","Germany","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","DEU","Germany","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",48.4,,
"EUR","Europe","GRC","Greece","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","GRC","Greece","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",47.3,,
"ALL","All regions","GRC","Greece","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","GRC","Greece","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",47.3,,
"EUR","Europe","HUN","Hungary","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","HUN","Hungary","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",56.6,,
"ALL","All regions","HUN","Hungary","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","HUN","Hungary","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",56.6,,
"EUR","Europe","ISL","Iceland","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","ISL","Iceland","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",59.5,,
"ALL","All regions","ISL","Iceland","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","ISL","Iceland","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",59.5,,
"EUR","Europe","IRL","Ireland","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","IRL","Ireland","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",49.2,,
"ALL","All regions","IRL","Ireland","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","IRL","Ireland","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",49.2,,
"EUR","Europe","ITA","Italy","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","ITA","Italy","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",54,,
"ALL","All regions","ITA","Italy","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","ITA","Italy","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",54,,
"ASI","Asia","JPN","Japan","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","JPN","Japan","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",48.5,,
"ALL","All regions","JPN","Japan","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","JPN","Japan","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",48.5,,
"ASI","Asia","KOR","Korea","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","KOR","Korea","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",44.8,,
"ALL","All regions","KOR","Korea","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","KOR","Korea","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",44.8,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",44.5,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",44.5,,
"EUR","Europe","NLD","Netherlands","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","NLD","Netherlands","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",53.2,,
"ALL","All regions","NLD","Netherlands","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","NLD","Netherlands","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",53.2,,
"ASI","Asia","NZL","New Zealand","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","NZL","New Zealand","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",61.6,,
"ALL","All regions","NZL","New Zealand","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","NZL","New Zealand","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",61.6,,
"EUR","Europe","NOR","Norway","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","NOR","Norway","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",44.3,,
"ALL","All regions","NOR","Norway","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","NOR","Norway","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",44.3,,
"EUR","Europe","POL","Poland","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","POL","Poland","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",56.2,,
"ALL","All regions","POL","Poland","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","POL","Poland","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",56.2,,
"EUR","Europe","PRT","Portugal","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","PRT","Portugal","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",50,,
"ALL","All regions","PRT","Portugal","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","PRT","Portugal","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",50,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",52.2,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",52.2,,
"EUR","Europe","ESP","Spain","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","ESP","Spain","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",52.6,,
"ALL","All regions","ESP","Spain","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","ESP","Spain","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",52.6,,
"EUR","Europe","SWE","Sweden","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","SWE","Sweden","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",43.1,,
"ALL","All regions","SWE","Sweden","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","SWE","Sweden","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",43.1,,
"EUR","Europe","CHE","Switzerland","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","CHE","Switzerland","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",41.1,,
"ALL","All regions","CHE","Switzerland","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","CHE","Switzerland","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",41.1,,
"EUR","Europe","GBR","United Kingdom","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","GBR","United Kingdom","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",46.3,,
"ALL","All regions","GBR","United Kingdom","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","GBR","United Kingdom","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",46.3,,
"AME","Americas","USA","United States","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","USA","United States","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",49.9,,
"ALL","All regions","USA","United States","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","USA","United States","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",49.9,,
"AME","Americas","ATG","Antigua and Barbuda","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","ATG","Antigua and Barbuda","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","ARG","Argentina","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","ARG","Argentina","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",54.1,,
"ALL","All regions","ARG","Argentina","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","ARG","Argentina","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",54.1,,
"AME","Americas","BHS","Bahamas","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","BHS","Bahamas","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","BHR","Bahrain","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BHR","Bahrain","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AME","Americas","BRB","Barbados","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","BRB","Barbados","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","BRN","Brunei Darussalam","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BRN","Brunei Darussalam","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AME","Americas","CHL","Chile","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","CHL","Chile","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",63,,
"ALL","All regions","CHL","Chile","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","CHL","Chile","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",63,,
"EUR","Europe","HRV","Croatia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"EUR","Europe","HRV","Croatia","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",55,,
"ALL","All regions","HRV","Croatia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","HRV","Croatia","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",55,,
"ASI","Asia","CYP","Cyprus","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","CYP","Cyprus","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",51.7,,
"ALL","All regions","CYP","Cyprus","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","CYP","Cyprus","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",51.7,,
"EUR","Europe","EST","Estonia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","EST","Estonia","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",50.6,,
"ALL","All regions","EST","Estonia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","EST","Estonia","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",50.6,,
"ASI","Asia","HKG","Hong Kong, China","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","HKG","Hong Kong, China","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",59.1,,
"ALL","All regions","HKG","Hong Kong, China","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","HKG","Hong Kong, China","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",59.1,,
"ASI","Asia","ISR","Israel","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","ISR","Israel","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",51.2,,
"ALL","All regions","ISR","Israel","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","ISR","Israel","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",51.2,,
"ASI","Asia","KWT","Kuwait","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","KWT","Kuwait","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"EUR","Europe","LVA","Latvia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","LVA","Latvia","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",61.7,,
"ALL","All regions","LVA","Latvia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","LVA","Latvia","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",61.7,,
"EUR","Europe","LTU","Lithuania","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","LTU","Lithuania","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",55,,
"ALL","All regions","LTU","Lithuania","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","LTU","Lithuania","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",55,,
"EUR","Europe","MLT","Malta","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","MLT","Malta","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",47.7,,
"ALL","All regions","MLT","Malta","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","MLT","Malta","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",47.7,,
"ASI","Asia","OMN","Oman","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","OMN","Oman","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AME","Americas","PAN","Panama","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","PAN","Panama","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",60.6,,
"ALL","All regions","PAN","Panama","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","PAN","Panama","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",60.6,,
"ASI","Asia","QAT","Qatar","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","QAT","Qatar","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","SAU","Saudi Arabia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","SAU","Saudi Arabia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","SYC","Seychelles","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","SYC","Seychelles","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ASI","Asia","SGP","Singapore","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","SGP","Singapore","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",52.4,,
"ALL","All regions","SGP","Singapore","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","SGP","Singapore","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",52.4,,
"EUR","Europe","SVN","Slovenia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","SVN","Slovenia","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",52.7,,
"ALL","All regions","SVN","Slovenia","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","SVN","Slovenia","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",52.7,,
"ASI","Asia","TWN","Chinese Taipei","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","TWN","Chinese Taipei","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",54.4,,
"ALL","All regions","TWN","Chinese Taipei","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","TWN","Chinese Taipei","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",54.4,,
"AME","Americas","TTO","Trinidad and Tobago","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","TTO","Trinidad and Tobago","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",54.1,,
"ALL","All regions","TTO","Trinidad and Tobago","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","TTO","Trinidad and Tobago","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",54.1,,
"ASI","Asia","ARE","United Arab Emirates","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","ARE","United Arab Emirates","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","URY","Uruguay","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AME","Americas","URY","Uruguay","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",59.8,,
"ALL","All regions","URY","Uruguay","HIN","High income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","URY","Uruguay","HIN","High income","RCL_AJ_PRACT","Practice","2019","2019",59.8,,
"AME","Americas","MEX","Mexico","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"AME","Americas","MEX","Mexico","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",57.3,,
"ALL","All regions","MEX","Mexico","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","MEX","Mexico","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",57.3,,
"ASI","Asia","TUR","Turkey","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ASI","Asia","TUR","Turkey","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",46.4,,
"ALL","All regions","TUR","Turkey","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","TUR","Turkey","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",46.4,,
"EUR","Europe","ALB","Albania","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","ALB","Albania","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",54.5,,
"ALL","All regions","ALB","Albania","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","ALB","Albania","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",54.5,,
"AFR","Africa","DZA","Algeria","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","DZA","Algeria","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",48,,
"ALL","All regions","DZA","Algeria","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","DZA","Algeria","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",48,,
"ASI","Asia","ARM","Armenia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","ARM","Armenia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",52.9,,
"ALL","All regions","ARM","Armenia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","ARM","Armenia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",52.9,,
"ASI","Asia","AZE","Azerbaijan","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ASI","Asia","AZE","Azerbaijan","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",42.2,,
"ALL","All regions","AZE","Azerbaijan","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","AZE","Azerbaijan","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",42.2,,
"EUR","Europe","BLR","Belarus","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"EUR","Europe","BLR","Belarus","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",54.6,,
"ALL","All regions","BLR","Belarus","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","BLR","Belarus","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",54.6,,
"AME","Americas","BLZ","Belize","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","BLZ","Belize","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","BIH","Bosnia and Herzegovina","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"EUR","Europe","BIH","Bosnia and Herzegovina","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",50.4,,
"ALL","All regions","BIH","Bosnia and Herzegovina","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.25,,
"ALL","All regions","BIH","Bosnia and Herzegovina","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",50.4,,
"AFR","Africa","BWA","Botswana","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"AFR","Africa","BWA","Botswana","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",62.5,,
"ALL","All regions","BWA","Botswana","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BWA","Botswana","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",62.5,,
"AME","Americas","BRA","Brazil","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","BRA","Brazil","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",62.3,,
"ALL","All regions","BRA","Brazil","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","BRA","Brazil","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",62.3,,
"EUR","Europe","BGR","Bulgaria","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"EUR","Europe","BGR","Bulgaria","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",55.6,,
"ALL","All regions","BGR","Bulgaria","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","BGR","Bulgaria","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",55.6,,
"ASI","Asia","CHN","China (People's Republic of)","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","CHN","China (People's Republic of)","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","COL","Colombia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","COL","Colombia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",62.2,,
"ALL","All regions","COL","Colombia","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","COL","Colombia","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",62.2,,
"AME","Americas","CRI","Costa Rica","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","CRI","Costa Rica","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",58.8,,
"ALL","All regions","CRI","Costa Rica","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","CRI","Costa Rica","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",58.8,,
"AME","Americas","CUB","Cuba","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"AME","Americas","CUB","Cuba","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",49.8,,
"ALL","All regions","CUB","Cuba","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","CUB","Cuba","UMI","Upper middle income","RCL_AJ_PRACT","Practice","2019","2019",49.8,,
"AME","Americas","DMA","Dominica","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
"ALL","All regions","DMA","Dominica","UMI","Upper middle income","RCL_AJ_LAW","Law","2019","2019",0,,
